ReplicaSet,Solution,SmocId,Experiment,RestoreDurationInSec,VmPeak,VmSize,VmHWM,VmRSS,VmData,DeltaMemoryUsageInKbFromTop
6,conventional,smoc5,10,15.256,5972,10056,99716,105812,99728,3548
6,conventional,smoc6,10,15.074,7584,10752,72816,82508,48092,3553
6,conventional,smoc7,10,5.499,6632,3024,113256,112972,1584,3560
8,conventional,smoc1,1,19.964,13732,10804,87368,97136,51624,3545
8,conventional,smoc2,1,19.64,4188,9300,81120,97676,60492,3560
8,conventional,smoc3,1,20.458,5636,14236,101700,114920,73228,3563
8,conventional,smoc4,1,19.105,10248,10808,122804,135668,78256,3567
8,conventional,smoc5,1,19.44,20508,18916,114668,116048,82024,3564
8,conventional,smoc6,1,19.118,4816,9804,90864,97352,54112,3563
8,conventional,smoc7,1,19.74,11168,10572,82636,98988,62148,3560
8,conventional,smoc8,1,17.794,8508,9788,108152,117788,58012,3546
8,conventional,smoc9,1,5.712,9600,7664,72484,74496,101916,3551
8,conventional,smoc1,2,19.573,11508,9752,113892,118988,58948,3558
8,conventional,smoc2,2,20.672,11796,10284,80892,89716,58300,3552
8,conventional,smoc3,2,19.668,5036,5396,95964,109880,101848,3556
8,conventional,smoc4,2,19.964,13480,13016,94416,100776,57432,3551
8,conventional,smoc5,2,17.938,7540,9556,98564,105512,62868,3554
8,conventional,smoc6,2,20.298,10176,9344,104500,112568,75968,3559
8,conventional,smoc7,2,19.919,8524,10600,81756,102664,62884,3555
8,conventional,smoc8,2,18.968,13500,10804,83096,88824,65348,3553
8,conventional,smoc9,2,6.668,9068,10536,56148,63832,92224,3554
8,conventional,smoc1,3,20.461,2564,9512,75672,92428,48936,3563
8,conventional,smoc2,3,20.135,6356,10352,100804,120064,73452,3560
8,conventional,smoc3,3,19.773,8652,9816,138612,146812,141272,3556
8,conventional,smoc4,3,20.263,7004,9504,106648,116992,72260,3558
8,conventional,smoc5,3,20.353,12908,9776,80764,101852,87856,3570
8,conventional,smoc6,3,20.58,10144,9972,99620,118480,66920,3564
8,conventional,smoc7,3,19.792,12520,10176,92608,106056,62732,3563
8,conventional,smoc8,3,19.684,6852,9832,94192,113284,61808,3560
8,conventional,smoc9,3,4.977,9516,6084,50036,50408,61324,3561
8,conventional,smoc1,4,22.116,3468,9968,82024,102428,62056,3561
8,conventional,smoc2,4,21.34,13500,10136,122400,128532,75300,3550
8,conventional,smoc3,4,22.839,13480,13016,96308,112736,63792,3564
8,conventional,smoc4,4,21.562,8416,9404,83144,98880,56616,3561
8,conventional,smoc5,4,20.161,15456,15000,78360,92344,63108,3554
8,conventional,smoc6,4,23.168,12748,12544,116268,124988,75424,3558
8,conventional,smoc7,4,22.234,13500,10716,93448,101128,64016,3552
8,conventional,smoc8,4,22.012,12660,10992,135368,142188,80940,3554
8,conventional,smoc9,4,5.542,10440,8876,60400,60424,51064,3558
8,conventional,smoc1,5,20.539,11576,10060,88824,97800,85544,3554
8,conventional,smoc2,5,20.59,13248,11144,73016,79412,73048,3551
8,conventional,smoc3,5,20.623,6196,10008,149452,159356,158332,3556
8,conventional,smoc4,5,20.589,3780,8116,112056,131604,118440,3564
8,conventional,smoc5,5,19.133,7756,10600,88160,101792,52892,3559
8,conventional,smoc6,5,20.326,7216,7008,114756,127320,63000,3555
8,conventional,smoc7,5,19.255,10732,9812,80040,89368,61128,3550
8,conventional,smoc8,5,20.391,12208,9612,98372,109620,97284,3565
8,conventional,smoc9,5,5.757,8500,152,103980,97696,102756,3561
8,conventional,smoc1,6,20.991,8316,9744,85364,94428,77340,3563
8,conventional,smoc2,6,19.183,7196,7996,86796,106760,50532,3566
8,conventional,smoc3,6,19.78,13344,13204,95668,101308,52320,3562
8,conventional,smoc4,6,19.029,11756,7824,104916,104572,62524,3546
8,conventional,smoc5,6,19.938,13268,12572,108968,115980,63988,3563
8,conventional,smoc6,6,21.122,3236,9032,70344,90624,60256,3565
8,conventional,smoc7,6,20.33,13500,10260,120648,126980,71524,3557
8,conventional,smoc8,6,19.645,12372,10800,120404,129324,72336,3559
8,conventional,smoc9,6,5.146,10212,4560,59024,61008,84832,3549
8,conventional,smoc1,7,20.384,12188,12804,107496,120484,71972,3552
8,conventional,smoc2,7,20.012,13452,11780,115392,136500,134624,3566
8,conventional,smoc3,7,19.456,8892,9552,103076,110024,63852,3548
8,conventional,smoc4,7,19.305,13236,10412,101448,116180,57912,3567
8,conventional,smoc5,7,20.507,13432,8396,91772,101396,56720,3557
8,conventional,smoc6,7,20.167,11272,10540,83616,101168,60580,3565
8,conventional,smoc7,7,19.705,7236,5920,82900,88476,53184,3554
8,conventional,smoc8,7,19.179,12608,12132,92400,100348,61480,3547
8,conventional,smoc9,7,5.135,10232,5536,52196,39800,68528,3561
8,conventional,smoc1,8,19.184,8672,10612,127788,130996,66540,3549
8,conventional,smoc2,8,19.593,11372,10272,116880,136616,73484,3572
8,conventional,smoc3,8,18.65,12200,12028,109860,112052,66888,3544
8,conventional,smoc4,8,19.545,2664,9976,64120,87692,56104,3565
8,conventional,smoc5,8,19.928,12876,10792,134672,146024,81540,3550
8,conventional,smoc6,8,19.198,8604,9088,90532,96588,63416,3562
8,conventional,smoc7,8,20.388,15104,11956,114004,114704,70732,3558
8,conventional,smoc8,8,19.526,10300,10848,92056,99344,57284,3563
8,conventional,smoc9,8,5.018,4800,928,46636,38512,74620,3551
8,conventional,smoc1,9,21.194,8632,9580,84460,90792,53656,3557
8,conventional,smoc2,9,19.813,13480,11024,89192,92996,58416,3564
8,conventional,smoc3,9,20.445,8636,10368,109572,114600,69568,3559
8,conventional,smoc4,9,20.185,7440,8068,109356,119632,62688,3550
8,conventional,smoc5,9,20.426,11560,11140,79968,100464,94368,3570
8,conventional,smoc6,9,20.37,10068,11644,135284,148096,128464,3562
8,conventional,smoc7,9,20.648,9964,7992,84372,90436,50520,3556
8,conventional,smoc8,9,19.036,6920,8576,105764,115824,60976,3552
8,conventional,smoc9,9,6.279,10796,11424,93436,92840,77416,3561
8,conventional,smoc1,10,18.374,7852,10520,145960,157612,157152,3561
8,conventional,smoc2,10,19.442,11808,10080,127740,133852,74580,3547
8,conventional,smoc3,10,19.208,13916,10296,126504,130536,70176,3568
8,conventional,smoc4,10,19.306,2360,9388,90016,102700,98080,3555
8,conventional,smoc5,10,18.891,12536,10260,103660,114060,64380,3560
8,conventional,smoc6,10,19.048,13500,10600,101812,108636,59056,3563
8,conventional,smoc7,10,18.229,9176,9036,91560,113536,59452,3565
8,conventional,smoc8,10,18.552,13268,11396,95240,103044,65908,3546
8,conventional,smoc9,10,5.374,8068,6916,75396,74144,51508,3558
8,centralized,smoc1,1,26.401,8404,9040,128564,139628,96964,3561
8,centralized,smoc2,1,26.227,12328,7596,119572,127692,85588,3554
8,centralized,smoc3,1,25.589,13404,10356,191788,194940,150076,3558
8,centralized,smoc4,1,25.806,5360,9804,138220,163292,123308,3566
8,centralized,smoc5,1,24.789,9116,9108,171840,179120,138824,3567
8,centralized,smoc6,1,25.814,13500,10836,148668,154320,104560,3558
8,centralized,smoc7,1,26.559,8920,7600,161348,176112,130344,3568
8,centralized,smoc8,1,26.431,6228,10052,109404,123432,79392,3557
8,centralized,smoc9,1,5.983,4212,3780,107216,110164,32520,3554
8,centralized,smoc1,2,21.094,8916,9572,99084,103044,63848,3556
8,centralized,smoc2,2,19.045,8180,7084,94124,115588,58144,3571
8,centralized,smoc3,2,20.228,8884,8940,111980,114788,62860,3562
8,centralized,smoc4,2,21.375,12468,11944,89196,93604,55100,3565
8,centralized,smoc5,2,22.19,9224,12008,85472,96872,56600,3553
